metrics,acc
gptscore_gpt2-large_src_hypo,0.8659003831417624
bartscore_facebook/bart-large-cnn_src_hypo,0.8659003831417624
bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,0.7624521072796935
bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,0.6245210727969349
bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,0.7318007662835249
rouge-1-p_ref_hypo,0.3946360153256705
rouge-1-r_ref_hypo,0.2950191570881226
rouge-1-f_ref_hypo,0.3946360153256705
rouge-2-p_ref_hypo,0.3524904214559387
rouge-2-r_ref_hypo,0.20689655172413793
rouge-2-f_ref_hypo,0.3524904214559387
rouge-l-p_ref_hypo,0.367816091954023
rouge-l-r_ref_hypo,0.26053639846743293
rouge-l-f_ref_hypo,0.367816091954023
meteor_ref_hypo,0.5938697318007663
bleu_ref_hypo,0.36015325670498083
moverscore_default_ref_hypo,0.5019157088122606
unieval_fact_consistency_src_hypo,0.7011494252873564
unieval_summarization_coherence_src_hypo,0.5632183908045977
unieval_summarization_consistency_src_hypo,0.6168582375478927
unieval_summarization_fluency_src_hypo,0.7624521072796935
unieval_summarization_overall_src_hypo,0.7011494252873564
